[2026-03-19T10:55:34.198Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:34.196Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:34.363Z] INFO: User Login {"playerName":"Melanie"}
[2026-03-19T10:55:39.194Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:39.193Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:44.196Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:44.196Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:46.314Z] INFO: WebSocket Message: DISCOVERY_REQUEST {"senderId":"SzJvper_OaPkuRGvAAAD","sender":"SzJvper_OaPkuRGvAAAD","timestamp":"2026-03-19T10:55:46.314Z"}
[2026-03-19T10:55:46.320Z] INFO: WebSocket Message: DISCOVERY_REQUEST {"senderId":"SzJvper_OaPkuRGvAAAD","sender":"SzJvper_OaPkuRGvAAAD","timestamp":"2026-03-19T10:55:46.320Z"}
[2026-03-19T10:55:49.195Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:49.195Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:54.193Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:54.192Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:55:59.193Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:55:59.192Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:56:02.585Z] INFO: WebSocket Message: JOIN_ROOM {"roomCode":"CRYSTAL-VALLEY","playerName":"Melanie","sender":"SzJvper_OaPkuRGvAAAD","timestamp":"2026-03-19T10:56:02.585Z"}
[2026-03-19T10:56:02.586Z] INFO: WebSocket Message: JOIN_ROOM {"roomCode":"CRYSTAL-VALLEY","playerName":"Melanie","sender":"SzJvper_OaPkuRGvAAAD","timestamp":"2026-03-19T10:56:02.586Z"}
[2026-03-19T10:56:02.591Z] INFO: WebSocket Message: PLAYER_LIST_UPDATE {"roomCode":"CRYSTAL-VALLEY","players":[{"name":"Neil","id":"0qcnCOUBlNQcdPd7AAAB"},{"name":"Melanie","id":"SzJvper_OaPkuRGvAAAD"}],"senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:56:02.591Z"}
[2026-03-19T10:56:02.596Z] INFO: WebSocket Message: PLAYER_LIST_UPDATE {"roomCode":"CRYSTAL-VALLEY","players":[{"name":"Neil","id":"0qcnCOUBlNQcdPd7AAAB"},{"name":"Melanie","id":"SzJvper_OaPkuRGvAAAD"}],"senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB","timestamp":"2026-03-19T10:56:02.595Z"}
[2026-03-19T10:56:04.192Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:56:04.192Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:56:09.193Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:56:09.192Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:56:14.192Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:56:14.192Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:56:19.195Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:56:19.194Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
[2026-03-19T10:56:24.199Z] INFO: WebSocket Message: HEARTBEAT {"roomCode":"CRYSTAL-VALLEY","timestamp":"2026-03-19T10:56:24.199Z","senderId":"0qcnCOUBlNQcdPd7AAAB","playerName":"Neil","sender":"0qcnCOUBlNQcdPd7AAAB"}
